Episode,total_reward,revenue,orr,total_distance,cost
1,24.3981,23.9120,0.1215,111.8693,11.1869
2,24.3197,23.8381,0.1204,111.4254,11.1425
3,23.9675,23.4866,0.1202,113.1179,11.3118
4,24.0272,23.5502,0.1193,111.3141,11.1314
5,23.8940,23.4168,0.1193,112.5512,11.2551
6,24.4304,23.9573,0.1183,112.0058,11.2006
7,24.3823,23.8977,0.1212,111.0709,11.1071
8,23.9747,23.4968,0.1195,112.7071,11.2707
9,24.1020,23.6220,0.1200,112.4580,11.2458
10,24.1005,23.6163,0.1211,113.1220,11.3122
11,23.7876,23.3165,0.1178,111.0100,11.1010
12,19.6313,19.2232,0.1020,102.7739,10.2774
13,13.1845,12.8554,0.0823,92.2707,9.2271
14,9.8068,9.5132,0.0734,90.5983,9.0598
15,8.4804,8.2106,0.0675,88.6896,8.8690
16,8.3156,8.0492,0.0666,84.8435,8.4844
17,8.9897,8.7372,0.0631,78.6861,7.8686
18,24.8121,24.4471,0.0912,80.8533,8.0853
19,28.9586,28.5802,0.0946,72.1733,7.2173
20,29.1157,28.7330,0.0957,72.6214,7.2621
21,33.8830,33.4406,0.1106,75.1813,7.5181
22,32.0616,31.6492,0.1031,72.8024,7.2802
23,25.8477,25.4720,0.0939,84.7074,8.4707
24,24.4138,24.0450,0.0922,79.9656,7.9966
25,20.8527,20.5162,0.0841,83.0899,8.3090
26,27.1872,26.7942,0.0983,85.3126,8.5313
27,27.3497,26.9632,0.0966,85.2180,8.5218
28,30.0706,29.6647,0.1015,75.9887,7.5989
29,28.8274,28.4298,0.0994,80.7838,8.0784
30,24.8545,24.4987,0.0890,78.4915,7.8491
31,28.1103,27.6941,0.1041,81.9686,8.1969
32,27.5463,27.1501,0.0991,82.6971,8.2697
33,30.9913,30.5743,0.1043,78.6376,7.8638
34,24.9915,24.6309,0.0902,85.1913,8.5191
35,26.9728,26.5902,0.0957,80.8276,8.0828
36,28.9182,28.5185,0.0999,82.6922,8.2692
37,24.7349,24.3791,0.0890,80.8085,8.0809
38,26.2207,25.8498,0.0927,82.2345,8.2234
39,27.7059,27.3035,0.1006,81.3901,8.1390
40,27.2345,26.8513,0.0958,77.8798,7.7880
41,27.3882,26.9897,0.0996,83.2506,8.3251
42,25.6125,25.2226,0.0975,83.9063,8.3906
43,20.5715,20.2612,0.0776,76.0065,7.6006
44,25.1407,24.7866,0.0885,77.8511,7.7851
45,30.4058,29.9902,0.1039,79.2193,7.9219
46,26.4385,26.0442,0.0986,87.0375,8.7037
47,27.9066,27.5029,0.1009,76.4711,7.6471
48,27.3521,26.9625,0.0974,78.3595,7.8360
49,28.9033,28.4925,0.1027,77.7106,7.7711
50,25.5173,25.1474,0.0925,78.4611,7.8461
51,22.0542,21.7127,0.0854,83.3239,8.3324
52,22.9244,22.5869,0.0844,78.7806,7.8781
53,24.5448,24.1872,0.0894,79.4363,7.9436
54,27.9504,27.5617,0.0972,83.2222,8.3222
55,27.4857,27.0837,0.1005,84.3342,8.4334
56,27.9489,27.5436,0.1013,83.6418,8.3642
57,25.7861,25.4035,0.0957,84.5436,8.4544
58,27.8790,27.4785,0.1001,85.2853,8.5285
59,26.1698,25.7897,0.0950,81.0087,8.1009
60,30.3297,29.9061,0.1059,83.4503,8.3450
61,27.6890,27.2950,0.0985,81.6959,8.1696
62,27.2080,26.8211,0.0967,82.1155,8.2115
63,25.8133,25.4328,0.0951,86.3105,8.6310
64,26.4592,26.0951,0.0910,74.4611,7.4461
65,28.1784,27.7727,0.1014,83.2795,8.3280
66,24.1607,23.7807,0.0950,84.9193,8.4919
67,24.5473,24.1807,0.0916,84.3596,8.4360
68,28.0103,27.6187,0.0979,77.4683,7.7468
69,28.3341,27.9198,0.1036,85.7841,8.5784
70,26.9045,26.5136,0.0977,86.2737,8.6274
71,28.4322,28.0278,0.1011,81.1073,8.1107
72,28.4769,28.0638,0.1033,86.5881,8.6588
73,26.5954,26.2092,0.0965,83.4308,8.3431
74,30.6557,30.2200,0.1089,85.7323,8.5732
75,28.1560,27.7447,0.1028,84.9601,8.4960
76,31.8453,31.4080,0.1093,82.0084,8.2008
77,30.8224,30.3910,0.1079,80.4309,8.0431
78,25.6058,25.2245,0.0953,80.1602,8.0160
79,29.1841,28.7690,0.1038,86.6862,8.6686
80,27.6620,27.2640,0.0995,84.1985,8.4198
81,27.8533,27.4503,0.1007,84.9748,8.4975
82,29.9106,29.4856,0.1062,84.9604,8.4960
83,28.0447,27.6296,0.1038,87.3365,8.7337
84,28.7559,28.3465,0.1023,86.8676,8.6868
85,26.9716,26.5846,0.0968,83.9938,8.3994
86,31.1257,30.6836,0.1105,89.6737,8.9674
87,32.1919,31.7455,0.1116,83.7171,8.3717
88,29.3827,28.9608,0.1055,79.9776,7.9978
89,35.4086,34.8966,0.1280,93.6620,9.3662
90,29.1466,28.7190,0.1069,87.4464,8.7446
91,30.8948,30.4540,0.1102,88.7422,8.8742
92,30.3485,29.9076,0.1102,85.7179,8.5718
93,28.5438,28.1407,0.1008,81.6480,8.1648
94,35.9297,35.4405,0.1223,86.9443,8.6944
95,29.1345,28.7179,0.1042,80.6511,8.0651
96,31.1249,30.6773,0.1119,87.6285,8.7628
97,29.9565,29.5198,0.1092,89.7628,8.9763
98,30.1576,29.7187,0.1097,89.1910,8.9191
99,32.2664,31.8217,0.1112,86.6501,8.6650
100,35.1787,34.6795,0.1248,93.1809,9.3181
